1.0,1017,852,39,15,worm
1.0,1241,743,30,20,worm
1.0,910,715,16,39,worm
1.0,1172,572,14,32,worm
1.0,814,563,40,18,worm
1.0,850,527,15,31,worm
1.0,761,496,29,25,worm
1.0,970,482,41,13,worm
1.0,988,459,28,18,worm
1.0,1059,422,12,37,worm
1.0,987,438,27,18,worm
1.0,936,405,27,21,worm
1.0,1257,334,29,24,worm
1.0,1136,333,43,22,worm
1.0,985,304,29,22,worm
1.0,1039,203,36,22,worm
2.0,899,890,22,35,worm
2.0,1081,798,45,15,worm
2.0,1132,761,37,13,worm
2.0,902,729,28,26,worm
2.0,1177,494,16,32,worm
2.0,992,499,26,26,worm
2.0,848,496,35,23,worm
2.0,1322,429,30,22,worm
2.0,888,308,14,35,worm
2.0,1053,57,37,22,worm
3.0,1067,837,39,19,worm
3.0,950,749,33,27,worm
3.0,1338,649,22,32,worm
3.0,1079,650,26,26,worm
3.0,798,605,19,33,worm
3.0,654,574,31,27,worm
3.0,1190,559,25,31,worm
3.0,1001,561,28,21,worm
3.0,847,477,18,37,worm
3.0,933,380,25,30,worm
3.0,1240,376,25,29,worm
3.0,1339,376,33,24,worm
3.0,825,63,29,47,worm
4.0,1324,660,35,23,worm
4.0,1276,655,27,21,worm
4.0,1427,597,30,33,worm
4.0,843,590,16,34,worm
4.0,1058,558,24,26,worm
4.0,1126,514,14,38,worm
4.0,996,504,15,35,worm
4.0,1076,457,34,20,worm
4.0,958,425,12,38,worm
4.0,929,332,39,20,worm
4.0,1041,289,28,25,worm
4.0,1014,287,29,19,worm
4.0,936,251,13,37,worm
5.0,897,702,29,15,worm
5.0,1177,640,17,31,worm
5.0,1056,565,19,31,worm
5.0,1046,536,35,26,worm
5.0,1146,504,32,19,worm
5.0,1336,487,27,26,worm
5.0,1274,478,17,28,worm
5.0,841,416,25,31,worm
5.0,1067,332,24,22,worm
5.0,1055,268,31,14,worm
5.0,825,64,29,46,worm
6.0,1037,807,36,12,worm
6.0,1112,686,25,22,worm
6.0,966,669,18,28,worm
6.0,1166,595,25,19,worm
6.0,1116,554,36,17,worm
6.0,1318,478,16,32,worm
6.0,844,470,15,30,worm
6.0,1336,421,15,28,worm
6.0,1159,406,27,24,worm
6.0,1021,319,15,34,worm
6.0,1062,241,13,34,worm
6.0,824,64,31,47,worm
7.0,985,774,12,37,worm
7.0,1176,751,16,29,worm
7.0,1114,755,33,20,worm
7.0,1073,719,40,13,worm
7.0,1048,680,25,23,worm
7.0,1043,562,27,16,worm
7.0,1259,502,30,31,worm
7.0,440,510,41,13,worm
7.0,1279,405,19,36,worm
7.0,989,378,24,25,worm
7.0,911,353,19,33,worm
7.0,1334,366,35,19,worm
