frame,x1A,y1A,x2A,y2A,expID
1113.0,1219.00894826366,744.5438104553797,1233.8968788745829,779.3216473822748,1047
1221.0,932.9522287205766,662.9071822409902,961.9450267594352,688.1993312839671,1047
1290.0,1329.732525344736,695.6126359778958,1345.3816618350804,725.432683144695,1047
1271.0,1156.9180381694339,310.65498922267557,1170.0785229885016,342.6034467391762,1047
1354.0,877.8347818360942,436.5958368231872,892.2413962482424,467.31178828842764,1047
1492.0,1047.1059707587406,579.1712930871051,1079.3263636182387,594.7154724615036,1047
1764.0,1255.6292217442228,518.8916848398475,1267.9608687916757,545.5630381828918,1047
1227.0,1017.4595542269551,324.66116857639554,1046.1870290843733,342.7919525112941,1047
1527.0,963.3239932538123,404.05823467839633,1001.8733255903948,423.5447345683387,1047
1561.0,1141.6951489284224,594.738252771675,1164.1673982631419,621.2373910177682,1047
1476.0,1357.5079872528229,454.51396964837863,1369.4949892191987,499.5832637227405,1047
1893.0,1158.2688919212553,749.9129795743293,1184.3402493464903,779.7327033603824,1047
894.0,824.3232112528351,66.37690613752969,852.9294726067885,103.3655515231321,1047
2335.0,1318.2987262455038,610.8759020443338,1336.3084275024164,644.8079065045647,1047
