frame,x1,y1,x2,y2,expID
1640,964.0,1011.0,1015.0,1027.0,1050
750,882.0,985.0,911.0,1014.0,1050
1570,1303.0,994.0,1332.0,1013.0,1050
1200,1056.0,907.0,1083.0,936.0,1050
1190,1102.0,920.0,1142.0,933.0,1050
200,778.0,904.0,815.0,928.0,1050
1170,963.0,878.0,995.0,907.0,1050
180,1057.0,844.0,1095.0,871.0,1050
1590,629.0,837.0,647.0,864.0,1050
1530,712.0,839.0,740.0,861.0,1050
1540,1311.0,823.0,1328.0,854.0,1050
130,684.0,798.0,721.0,829.0,1050
1590,1023.0,806.0,1062.0,828.0,1050
820,1359.0,788.0,1386.0,820.0,1050
1520,1334.0,783.0,1353.0,813.0,1050
1560,1367.0,760.0,1382.0,791.0,1050
1570,1335.0,762.0,1363.0,785.0,1050
1640,922.0,753.0,946.0,783.0,1050
1640,1146.0,744.0,1184.0,766.0,1050
1460,1361.0,731.0,1379.0,766.0,1050
250,657.0,710.0,675.0,754.0,1050
1630,1149.0,724.0,1175.0,747.0,1050
1320,1055.0,713.0,1070.0,746.0,1050
430,770.0,717.0,801.0,743.0,1050
730,1416.0,708.0,1449.0,734.0,1050
1640,1211.0,707.0,1239.0,729.0,1050
1640,654.0,653.0,669.0,693.0,1050
1570,1166.0,667.0,1195.0,691.0,1050
1640,1342.0,646.0,1372.0,676.0,1050
1640,1566.0,641.0,1596.0,667.0,1050
910,858.0,640.0,882.0,667.0,1050
1620,1294.0,639.0,1328.0,661.0,1050
1640,1188.0,623.0,1200.0,659.0,1050
1640,626.0,611.0,645.0,655.0,1050
1240,759.0,617.0,792.0,645.0,1050
1500,221.0,597.0,248.0,627.0,1050
1640,1145.0,602.0,1183.0,622.0,1050
510,598.0,595.0,621.0,618.0,1050
1570,618.0,582.0,643.0,614.0,1050
1370,800.0,558.0,825.0,596.0,1050
1640,987.0,579.0,1029.0,595.0,1050
1640,1171.0,560.0,1207.0,585.0,1050
1450,833.0,546.0,861.0,582.0,1050
1640,1259.0,556.0,1298.0,570.0,1050
1580,964.0,534.0,991.0,565.0,1050
1640,1348.0,525.0,1364.0,557.0,1050
1640,1263.0,518.0,1292.0,548.0,1050
1360,873.0,501.0,890.0,542.0,1050
1480,213.0,520.0,271.0,542.0,1050
