frame,x1,y1,x2,y2,expID
2230,1032.0,838.0,1065.0,852.0,1052
1920,1161.0,817.0,1176.0,852.0,1052
1770,1213.0,825.0,1231.0,850.0,1052
2370,1077.0,779.0,1089.0,806.0,1052
2080,1158.0,736.0,1187.0,745.0,1052
False,245.0,716.0,309.0,733.0,1052
2350,761.0,678.0,778.0,730.0,1052
1860,1258.0,703.0,1276.0,726.0,1052
1590,1124.0,693.0,1143.0,721.0,1052
2040,1335.0,679.0,1356.0,710.0,1052
1760,1239.0,691.0,1263.0,708.0,1052
1850,1177.0,677.0,1224.0,697.0,1052
2170,1144.0,644.0,1169.0,667.0,1052
2010,1218.0,639.0,1235.0,665.0,1052
1560,1191.0,611.0,1215.0,639.0,1052
1750,920.0,554.0,942.0,577.0,1052
2290,1190.0,511.0,1220.0,526.0,1052
1670,1121.0,484.0,1136.0,518.0,1052
2290,1197.0,361.0,1231.0,375.0,1052
