frame,x1,y1,x2,y2,expID
170,885.0,934.0,928.0,952.0,1053
1200,1052.0,886.0,1083.0,911.0,1053
1940,1111.0,884.0,1155.0,903.0,1053
1940,1220.0,877.0,1256.0,896.0,1053
1510,740.0,871.0,778.0,889.0,1053
1940,1179.0,851.0,1202.0,879.0,1053
1380,1358.0,861.0,1396.0,878.0,1053
770,740.0,836.0,764.0,875.0,1053
1490,1000.0,846.0,1045.0,872.0,1053
1870,1316.0,845.0,1334.0,869.0,1053
1940,1060.0,838.0,1101.0,867.0,1053
1930,1210.0,824.0,1225.0,866.0,1053
1940,1022.0,827.0,1053.0,852.0,1053
1260,1042.0,815.0,1069.0,850.0,1053
1940,1222.0,830.0,1252.0,847.0,1053
1390,1120.0,826.0,1160.0,842.0,1053
1940,951.0,828.0,993.0,841.0,1053
1940,1080.0,821.0,1109.0,838.0,1053
1930,1258.0,815.0,1285.0,837.0,1053
1940,1331.0,793.0,1349.0,833.0,1053
1260,1015.0,811.0,1049.0,832.0,1053
1940,1101.0,806.0,1124.0,828.0,1053
1310,983.0,802.0,1025.0,827.0,1053
1940,1068.0,797.0,1096.0,827.0,1053
1940,1257.0,777.0,1273.0,816.0,1053
1940,1299.0,784.0,1322.0,809.0,1053
1940,1206.0,792.0,1238.0,809.0,1053
1940,1269.0,780.0,1296.0,809.0,1053
1240,1225.0,762.0,1244.0,805.0,1053
1940,1143.0,767.0,1155.0,802.0,1053
1280,985.0,777.0,1010.0,799.0,1053
1440,956.0,770.0,976.0,798.0,1053
1940,1319.0,773.0,1346.0,796.0,1053
1910,1162.0,759.0,1187.0,793.0,1053
1940,900.0,755.0,914.0,793.0,1053
1580,937.0,759.0,958.0,792.0,1053
1940,1082.0,758.0,1100.0,792.0,1053
1900,1378.0,768.0,1411.0,791.0,1053
1940,1280.0,766.0,1306.0,787.0,1053
1940,1335.0,746.0,1352.0,787.0,1053
1940,1114.0,761.0,1133.0,787.0,1053
1940,1300.0,749.0,1321.0,786.0,1053
1940,1182.0,757.0,1208.0,786.0,1053
1940,952.0,742.0,982.0,769.0,1053
1850,994.0,740.0,1020.0,766.0,1053
1940,894.0,724.0,911.0,765.0,1053
1930,1260.0,719.0,1278.0,751.0,1053
1690,1480.0,731.0,1518.0,750.0,1053
1640,921.0,709.0,934.0,750.0,1053
1940,1037.0,734.0,1067.0,748.0,1053
1640,902.0,708.0,922.0,748.0,1053
1940,1148.0,720.0,1175.0,741.0,1053
1930,935.0,717.0,969.0,734.0,1053
1930,1222.0,713.0,1246.0,732.0,1053
1810,985.0,697.0,1000.0,730.0,1053
1940,1404.0,701.0,1432.0,729.0,1053
1920,1255.0,695.0,1277.0,729.0,1053
1930,963.0,693.0,981.0,724.0,1053
1940,1100.0,699.0,1132.0,719.0,1053
1940,1415.0,681.0,1446.0,717.0,1053
1940,1365.0,694.0,1398.0,717.0,1053
1940,1247.0,676.0,1262.0,707.0,1053
1630,913.0,673.0,931.0,705.0,1053
1940,1336.0,679.0,1360.0,705.0,1053
1640,950.0,671.0,969.0,704.0,1053
1930,1070.0,675.0,1102.0,697.0,1053
1940,996.0,667.0,1023.0,696.0,1053
1940,968.0,673.0,994.0,695.0,1053
1940,1096.0,662.0,1111.0,695.0,1053
1940,1325.0,657.0,1339.0,694.0,1053
1920,900.0,659.0,921.0,693.0,1053
1940,1336.0,653.0,1352.0,688.0,1053
1940,1192.0,656.0,1216.0,686.0,1053
1940,955.0,649.0,972.0,681.0,1053
1940,1128.0,657.0,1154.0,681.0,1053
1940,1369.0,647.0,1387.0,681.0,1053
1920,1011.0,643.0,1030.0,674.0,1053
1940,1146.0,650.0,1170.0,674.0,1053
1660,1529.0,637.0,1550.0,672.0,1053
1940,1423.0,630.0,1443.0,663.0,1053
1940,1124.0,641.0,1158.0,660.0,1053
1560,277.0,617.0,295.0,656.0,1053
1930,884.0,627.0,912.0,655.0,1053
1680,1056.0,634.0,1081.0,653.0,1053
1330,1295.0,640.0,1337.0,653.0,1053
1920,975.0,618.0,992.0,650.0,1053
1940,1121.0,616.0,1138.0,648.0,1053
1650,905.0,614.0,923.0,641.0,1053
1940,1399.0,589.0,1419.0,640.0,1053
1860,1243.0,609.0,1268.0,639.0,1053
1670,1033.0,607.0,1067.0,633.0,1053
1930,945.0,606.0,971.0,632.0,1053
1940,1147.0,595.0,1161.0,628.0,1053
1940,832.0,610.0,871.0,625.0,1053
890,1444.0,586.0,1479.0,624.0,1053
1940,1111.0,604.0,1148.0,621.0,1053
1940,959.0,579.0,982.0,614.0,1053
1940,1299.0,573.0,1315.0,613.0,1053
1940,1214.0,582.0,1234.0,612.0,1053
1940,1358.0,570.0,1375.0,607.0,1053
1920,1073.0,567.0,1087.0,601.0,1053
1940,1146.0,578.0,1170.0,600.0,1053
1940,1046.0,582.0,1075.0,600.0,1053
1940,1370.0,584.0,1405.0,600.0,1053
1640,888.0,569.0,909.0,597.0,1053
1940,1231.0,560.0,1248.0,596.0,1053
1940,949.0,557.0,967.0,591.0,1053
1240,1462.0,570.0,1507.0,584.0,1053
1940,1382.0,555.0,1407.0,584.0,1053
1880,1105.0,568.0,1126.0,584.0,1053
1940,978.0,560.0,1010.0,584.0,1053
1940,1329.0,545.0,1343.0,584.0,1053
1940,1308.0,546.0,1326.0,583.0,1053
1930,1176.0,551.0,1193.0,581.0,1053
1600,917.0,553.0,941.0,576.0,1053
1940,1049.0,555.0,1080.0,575.0,1053
1940,1398.0,530.0,1418.0,571.0,1053
1910,892.0,532.0,913.0,569.0,1053
1940,1107.0,529.0,1123.0,565.0,1053
1940,1033.0,533.0,1050.0,563.0,1053
1940,975.0,544.0,1005.0,563.0,1053
1930,1269.0,539.0,1304.0,562.0,1053
340,1424.0,542.0,1471.0,561.0,1053
1300,926.0,530.0,948.0,560.0,1053
1940,1119.0,531.0,1140.0,558.0,1053
1940,1071.0,539.0,1102.0,558.0,1053
1080,1448.0,520.0,1482.0,557.0,1053
1940,1066.0,520.0,1081.0,552.0,1053
1690,878.0,510.0,896.0,551.0,1053
1940,1342.0,514.0,1356.0,550.0,1053
1940,1307.0,512.0,1327.0,546.0,1053
1930,1142.0,517.0,1161.0,546.0,1053
