frame,x1,y1,x2,y2,expID
10,1563.0,1021.0,1615.0,1039.0,1045
False,973.0,969.0,1014.0,1008.0,1045
50,1118.0,909.0,1138.0,955.0,1045
1630,1069.0,864.0,1093.0,894.0,1045
60,980.0,848.0,1002.0,881.0,1045
1640,1127.0,847.0,1161.0,876.0,1045
1120,967.0,832.0,984.0,869.0,1045
1640,1174.0,853.0,1212.0,867.0,1045
False,939.0,825.0,978.0,849.0,1045
1640,1031.0,815.0,1051.0,845.0,1045
1640,1392.0,811.0,1425.0,832.0,1045
1640,1240.0,797.0,1269.0,823.0,1045
1640,989.0,793.0,1015.0,823.0,1045
1520,944.0,794.0,971.0,823.0,1045
1640,1216.0,793.0,1232.0,818.0,1045
1640,1039.0,795.0,1068.0,816.0,1045
1640,975.0,783.0,995.0,805.0,1045
1590,1053.0,780.0,1075.0,804.0,1045
1640,1086.0,778.0,1116.0,792.0,1045
1640,942.0,769.0,963.0,790.0,1045
1420,956.0,758.0,976.0,787.0,1045
1420,914.0,739.0,945.0,765.0,1045
1410,940.0,720.0,956.0,763.0,1045
1420,1003.0,741.0,1028.0,762.0,1045
1640,867.0,734.0,895.0,751.0,1045
1620,965.0,730.0,987.0,748.0,1045
1140,911.0,716.0,936.0,747.0,1045
1640,1028.0,712.0,1046.0,744.0,1045
False,816.0,698.0,853.0,728.0,1045
1640,1152.0,711.0,1174.0,728.0,1045
1590,996.0,708.0,1032.0,726.0,1045
1580,1070.0,707.0,1102.0,726.0,1045
1150,892.0,689.0,916.0,725.0,1045
1640,930.0,698.0,953.0,722.0,1045
1640,960.0,695.0,978.0,720.0,1045
1310,949.0,680.0,961.0,717.0,1045
1640,1062.0,684.0,1076.0,715.0,1045
1640,1147.0,694.0,1179.0,714.0,1045
1640,1104.0,685.0,1118.0,713.0,1045
1640,1129.0,687.0,1158.0,708.0,1045
1640,1037.0,686.0,1068.0,706.0,1045
1240,906.0,671.0,928.0,703.0,1045
1640,1089.0,673.0,1115.0,702.0,1045
700,853.0,667.0,882.0,694.0,1045
1640,1052.0,666.0,1086.0,684.0,1045
1640,986.0,653.0,1003.0,682.0,1045
1580,1263.0,656.0,1285.0,681.0,1045
1170,904.0,642.0,918.0,681.0,1045
