frame,x1,y1,x2,y2,expID
2020,881.0,947.0,898.0,980.0,1051
2020,834.0,916.0,856.0,950.0,1051
2030,1134.0,843.0,1152.0,882.0,1051
2040,1159.0,846.0,1181.0,879.0,1051
2030,1103.0,825.0,1128.0,855.0,1051
1590,726.0,828.0,759.0,849.0,1051
2030,1221.0,812.0,1236.0,845.0,1051
2040,1065.0,820.0,1094.0,841.0,1051
2020,1191.0,802.0,1212.0,832.0,1051
1790,1231.0,793.0,1248.0,827.0,1051
1360,959.0,787.0,983.0,816.0,1051
2040,1274.0,779.0,1292.0,816.0,1051
2040,1132.0,784.0,1160.0,815.0,1051
2040,897.0,781.0,928.0,815.0,1051
2020,1062.0,779.0,1085.0,808.0,1051
2040,876.0,758.0,893.0,799.0,1051
1990,1028.0,756.0,1045.0,793.0,1051
2040,1178.0,752.0,1201.0,784.0,1051
2010,1110.0,767.0,1151.0,782.0,1051
2040,1246.0,752.0,1271.0,772.0,1051
2010,1135.0,757.0,1173.0,770.0,1051
2000,905.0,734.0,927.0,769.0,1051
2040,1303.0,740.0,1327.0,763.0,1051
2040,805.0,724.0,825.0,759.0,1051
1450,958.0,733.0,984.0,759.0,1051
1440,920.0,740.0,961.0,753.0,1051
2030,1260.0,728.0,1291.0,747.0,1051
2010,1194.0,722.0,1228.0,739.0,1051
2040,1025.0,709.0,1049.0,735.0,1051
1480,897.0,700.0,925.0,730.0,1051
1610,1078.0,700.0,1108.0,719.0,1051
2040,1168.0,681.0,1187.0,714.0,1051
2040,1020.0,685.0,1044.0,714.0,1051
2040,816.0,674.0,840.0,711.0,1051
1880,1217.0,689.0,1250.0,710.0,1051
2040,935.0,693.0,966.0,710.0,1051
2040,1337.0,672.0,1353.0,704.0,1051
1890,869.0,655.0,885.0,696.0,1051
1450,908.0,665.0,923.0,696.0,1051
1350,1133.0,674.0,1161.0,696.0,1051
2030,1052.0,664.0,1081.0,693.0,1051
1450,1002.0,655.0,1021.0,690.0,1051
1850,621.0,670.0,650.0,689.0,1051
1430,1014.0,668.0,1050.0,686.0,1051
2040,1179.0,670.0,1215.0,683.0,1051
2040,1297.0,659.0,1326.0,682.0,1051
2040,1273.0,651.0,1290.0,681.0,1051
1390,1230.0,650.0,1257.0,680.0,1051
1480,891.0,649.0,918.0,677.0,1051
1980,948.0,633.0,971.0,671.0,1051
2010,212.0,640.0,254.0,666.0,1051
1090,706.0,632.0,733.0,664.0,1051
2040,1224.0,632.0,1243.0,662.0,1051
2040,1358.0,624.0,1372.0,658.0,1051
2040,1130.0,622.0,1147.0,657.0,1051
2020,795.0,637.0,833.0,652.0,1051
2040,1052.0,611.0,1064.0,647.0,1051
2040,1339.0,608.0,1351.0,645.0,1051
2030,1379.0,613.0,1403.0,643.0,1051
2040,1211.0,616.0,1240.0,637.0,1051
1930,882.0,606.0,897.0,637.0,1051
2040,1133.0,611.0,1159.0,632.0,1051
2040,987.0,599.0,1005.0,631.0,1051
2040,1079.0,605.0,1109.0,631.0,1051
1250,696.0,607.0,743.0,630.0,1051
2040,1014.0,614.0,1049.0,628.0,1051
1500,950.0,608.0,979.0,627.0,1051
2040,916.0,603.0,941.0,626.0,1051
2020,1278.0,585.0,1298.0,625.0,1051
2030,1005.0,594.0,1024.0,625.0,1051
2040,1208.0,596.0,1232.0,622.0,1051
2030,818.0,591.0,841.0,621.0,1051
2040,1252.0,598.0,1288.0,619.0,1051
2040,1155.0,586.0,1178.0,619.0,1051
2040,767.0,590.0,805.0,618.0,1051
2030,839.0,582.0,856.0,616.0,1051
1920,1067.0,593.0,1100.0,614.0,1051
2040,1393.0,577.0,1407.0,609.0,1051
260,1420.0,578.0,1449.0,609.0,1051
1450,1336.0,585.0,1363.0,606.0,1051
1940,875.0,572.0,902.0,604.0,1051
1350,1071.0,560.0,1084.0,603.0,1051
1860,1113.0,581.0,1147.0,600.0,1051
1880,1371.0,561.0,1402.0,592.0,1051
2040,1144.0,571.0,1168.0,592.0,1051
2040,817.0,548.0,834.0,584.0,1051
2040,1101.0,551.0,1119.0,584.0,1051
2010,941.0,549.0,956.0,583.0,1051
2040,1251.0,555.0,1274.0,579.0,1051
2040,1168.0,558.0,1201.0,576.0,1051
1990,1281.0,555.0,1316.0,576.0,1051
2040,1043.0,547.0,1067.0,576.0,1051
2040,1004.0,556.0,1036.0,575.0,1051
2040,1319.0,560.0,1357.0,574.0,1051
2040,1389.0,530.0,1408.0,572.0,1051
2040,1123.0,559.0,1160.0,571.0,1051
2030,912.0,543.0,930.0,571.0,1051
1980,1080.0,539.0,1094.0,570.0,1051
2010,857.0,540.0,887.0,570.0,1051
2040,768.0,536.0,796.0,567.0,1051
2010,213.0,517.0,229.0,563.0,1051
2040,1095.0,528.0,1121.0,562.0,1051
