frame,x1,y1,x2,y2,expID
1940,948.0,971.0,977.0,1000.0,1049
1940,897.0,964.0,910.0,999.0,1049
1640,1051.0,916.0,1080.0,938.0,1049
1940,814.0,899.0,834.0,933.0,1049
1940,1155.0,888.0,1189.0,912.0,1049
950,1454.0,885.0,1486.0,908.0,1049
1890,1185.0,891.0,1229.0,905.0,1049
1930,1073.0,885.0,1115.0,898.0,1049
1030,943.0,875.0,975.0,896.0,1049
910,1467.0,865.0,1504.0,889.0,1049
1520,1036.0,849.0,1048.0,888.0,1049
1030,920.0,842.0,948.0,872.0,1049
1350,976.0,840.0,1007.0,865.0,1049
1940,1137.0,838.0,1176.0,854.0,1049
1030,904.0,830.0,942.0,849.0,1049
1940,1226.0,835.0,1258.0,847.0,1049
1210,1363.0,801.0,1377.0,836.0,1049
1730,1517.0,796.0,1532.0,834.0,1049
230,1541.0,803.0,1562.0,832.0,1049
1220,860.0,806.0,899.0,826.0,1049
1940,1194.0,783.0,1222.0,808.0,1049
1940,1330.0,786.0,1360.0,803.0,1049
1700,1555.0,756.0,1570.0,794.0,1049
1940,902.0,759.0,931.0,784.0,1049
1940,1277.0,738.0,1298.0,768.0,1049
1530,828.0,745.0,859.0,767.0,1049
1290,655.0,742.0,690.0,764.0,1049
1940,1068.0,735.0,1100.0,763.0,1049
1940,682.0,734.0,704.0,763.0,1049
1730,1156.0,732.0,1187.0,760.0,1049
1700,1096.0,730.0,1131.0,752.0,1049
1460,821.0,725.0,851.0,749.0,1049
1940,1214.0,735.0,1249.0,749.0,1049
1940,663.0,708.0,705.0,743.0,1049
1840,1298.0,706.0,1329.0,731.0,1049
1890,1587.0,688.0,1601.0,730.0,1049
1430,804.0,712.0,842.0,729.0,1049
1940,1421.0,703.0,1446.0,728.0,1049
1940,1124.0,690.0,1145.0,722.0,1049
1400,814.0,658.0,831.0,697.0,1049
1940,651.0,658.0,669.0,697.0,1049
1940,794.0,656.0,809.0,691.0,1049
1940,1382.0,635.0,1406.0,668.0,1049
1930,1194.0,638.0,1222.0,663.0,1049
1940,879.0,628.0,899.0,658.0,1049
1930,1185.0,622.0,1201.0,652.0,1049
1700,1274.0,633.0,1313.0,651.0,1049
1150,887.0,609.0,913.0,646.0,1049
1940,1158.0,615.0,1188.0,642.0,1049
1900,1236.0,601.0,1250.0,637.0,1049
1940,1020.0,611.0,1046.0,635.0,1049
1360,850.0,603.0,873.0,632.0,1049
False,741.0,600.0,777.0,631.0,1049
1940,932.0,595.0,969.0,618.0,1049
1510,870.0,592.0,904.0,614.0,1049
1940,1091.0,594.0,1136.0,609.0,1049
1940,1195.0,563.0,1207.0,597.0,1049
1740,1247.0,568.0,1281.0,587.0,1049
1940,1133.0,560.0,1162.0,583.0,1049
1940,1176.0,556.0,1214.0,576.0,1049
1940,1456.0,525.0,1471.0,574.0,1049
1390,823.0,554.0,858.0,573.0,1049
1890,886.0,535.0,914.0,567.0,1049
1890,1044.0,535.0,1075.0,566.0,1049
1940,928.0,543.0,961.0,565.0,1049
1430,818.0,525.0,837.0,561.0,1049
1940,1293.0,529.0,1321.0,553.0,1049
1940,1436.0,514.0,1463.0,549.0,1049
1930,957.0,517.0,995.0,537.0,1049
1940,1050.0,506.0,1082.0,527.0,1049
1290,1422.0,480.0,1438.0,521.0,1049
1940,1101.0,503.0,1130.0,519.0,1049
1880,893.0,485.0,919.0,512.0,1049
1000,1205.0,482.0,1239.0,499.0,1049
390,1579.0,479.0,1633.0,499.0,1049
1420,893.0,464.0,920.0,492.0,1049
1220,779.0,436.0,828.0,492.0,1049
1940,1091.0,463.0,1126.0,491.0,1049
1430,832.0,447.0,845.0,484.0,1049
1020,1226.0,465.0,1252.0,483.0,1049
1940,1329.0,454.0,1361.0,480.0,1049
1050,261.0,433.0,274.0,474.0,1049
1580,946.0,454.0,986.0,473.0,1049
1940,650.0,437.0,672.0,471.0,1049
1710,1290.0,447.0,1326.0,467.0,1049
1920,1164.0,416.0,1185.0,452.0,1049
360,759.0,420.0,785.0,450.0,1049
1940,1303.0,402.0,1317.0,435.0,1049
1940,1128.0,415.0,1161.0,434.0,1049
1940,1277.0,401.0,1298.0,432.0,1049
1930,1004.0,416.0,1040.0,432.0,1049
1940,862.0,391.0,895.0,413.0,1049
