1.0,1052,666,34,18,worm
1.0,948,663,37,15,worm
1.0,1003,648,17,28,worm
1.0,919,544,16,35,worm
1.0,923,481,16,34,worm
1.0,1249,478,26,23,worm
1.0,830,453,32,18,worm
1.0,1369,403,18,35,worm
1.0,1499,341,14,37,worm
1.0,816,285,43,20,worm
1.0,649,249,25,26,worm
2.0,986,653,17,29,worm
2.0,924,498,26,28,worm
2.0,902,454,17,27,worm
2.0,819,406,26,32,worm
2.0,981,347,24,25,worm
2.0,945,246,40,26,worm
3.0,1563,1021,52,18,worm
3.0,1069,864,24,30,worm
3.0,989,793,26,30,worm
3.0,1003,741,25,21,worm
3.0,910,707,34,21,worm
3.0,973,608,16,26,worm
3.0,1162,607,23,18,worm
3.0,1554,540,19,38,worm
3.0,1278,517,18,40,worm
3.0,906,498,19,28,worm
3.0,827,475,41,19,worm
3.0,871,401,17,39,worm
3.0,1012,343,19,18,worm
3.0,982,295,35,19,worm
3.0,632,274,22,23,worm
4.0,1031,815,20,30,worm
4.0,980,773,25,26,worm
4.0,906,671,22,32,worm
4.0,1065,669,14,33,worm
4.0,1227,557,29,26,worm
4.0,1554,540,19,38,worm
4.0,800,519,28,14,worm
4.0,1094,489,26,25,worm
4.0,998,479,26,22,worm
4.0,820,442,15,38,worm
4.0,1013,374,22,25,worm
4.0,924,311,28,28,worm
4.0,953,267,14,41,worm
4.0,638,264,22,34,worm
4.0,510,25,35,60,worm
5.0,980,848,22,33,worm
5.0,1039,795,29,21,worm
5.0,1097,660,21,17,worm
5.0,1008,610,19,30,worm
5.0,828,587,35,22,worm
5.0,1006,561,37,18,worm
5.0,863,396,30,27,worm
5.0,917,290,21,43,worm
5.0,646,250,28,30,worm
5.0,509,23,37,65,worm
6.0,1046,786,29,23,worm
6.0,1108,668,11,35,worm
6.0,1102,637,15,28,worm
6.0,1027,611,24,18,worm
6.0,946,558,11,33,worm
6.0,1182,542,26,20,worm
6.0,885,510,20,26,worm
6.0,924,496,22,31,worm
6.0,923,458,16,32,worm
6.0,1345,447,30,23,worm
6.0,1288,440,13,23,worm
6.0,1031,380,12,35,worm
6.0,973,357,19,26,worm
6.0,926,312,18,37,worm
6.0,874,330,36,14,worm
6.0,953,289,34,18,worm
7.0,967,832,17,37,worm
7.0,1392,811,33,21,worm
7.0,1053,780,22,24,worm
7.0,914,739,31,26,worm
7.0,892,689,24,36,worm
7.0,1062,684,14,31,worm
7.0,868,652,37,15,worm
7.0,1218,615,26,29,worm
7.0,1050,583,31,20,worm
7.0,915,559,22,16,worm
7.0,992,465,27,27,worm
7.0,1192,451,27,14,worm
7.0,1335,405,29,13,worm
7.0,862,394,39,17,worm
7.0,1031,369,14,30,worm
7.0,912,318,42,14,worm
7.0,1140,296,14,23,worm
7.0,645,256,24,25,worm
7.0,508,25,38,61,worm
8.0,1240,797,29,26,worm
8.0,944,794,27,29,worm
8.0,1050,778,18,28,worm
8.0,897,642,34,21,worm
8.0,1208,637,32,26,worm
8.0,909,604,16,31,worm
8.0,943,596,28,22,worm
8.0,992,592,30,14,worm
8.0,915,559,13,27,worm
8.0,1554,540,19,38,worm
8.0,1216,535,15,29,worm
8.0,1322,443,13,36,worm
8.0,1035,449,38,15,worm
8.0,1115,413,14,44,worm
8.0,912,399,33,17,worm
8.0,930,359,15,36,worm
8.0,1026,363,20,22,worm
8.0,947,346,13,37,worm
8.0,508,24,38,64,worm
9.0,1174,853,38,14,worm
9.0,1216,793,16,25,worm
9.0,948,779,17,35,worm
9.0,1053,762,19,27,worm
9.0,936,736,24,26,worm
9.0,1070,707,32,19,worm
9.0,918,586,16,29,worm
9.0,981,563,27,20,worm
9.0,1190,542,31,18,worm
9.0,909,506,20,32,worm
9.0,1283,484,16,23,worm
9.0,1137,449,16,33,worm
9.0,969,433,13,35,worm
9.0,868,377,35,15,worm
9.0,941,351,27,23,worm
9.0,965,280,44,18,worm
9.0,649,247,27,28,worm
9.0,509,25,37,63,worm
10.0,1086,778,30,14,worm
10.0,940,720,16,43,worm
10.0,1089,673,26,29,worm
10.0,1051,652,18,30,worm
10.0,955,655,21,25,worm
10.0,883,641,22,25,worm
10.0,1211,617,21,27,worm
10.0,893,570,31,26,worm
10.0,1553,540,21,38,worm
10.0,967,542,19,32,worm
10.0,1044,519,27,22,worm
10.0,1121,509,20,23,worm
10.0,824,474,20,33,worm
10.0,915,463,17,28,worm
10.0,936,418,15,35,worm
10.0,959,327,15,30,worm
10.0,974,313,19,34,worm
10.0,1004,307,34,22,worm
10.0,1081,225,14,30,worm
11.0,965,730,22,18,worm
11.0,1028,712,18,32,worm
11.0,905,705,16,21,worm
11.0,930,698,23,24,worm
11.0,960,695,18,25,worm
11.0,1104,685,14,28,worm
